Username,TweetTot,RT,Tweet,Percentuale,Follower,Totale,Differenza,neutral,positive,negative
_Carabinieri_,1,0,1,0.0368,18767,2720,2719,1,0,0
_Co_Bra_,1,0,1,0.0368,37,2720,2719,1,0,0
_silviaJZ4_,1,1,0,0.0368,2617,2720,2719,0,0,1
01e3feec74fe4e6,1,1,0,0.0368,142,2720,2719,1,0,0
109lore,2,1,1,0.0735,152,2720,2718,2,0,0
13doule,1,1,0,0.0368,562,2720,2719,1,0,0
1lupogrigio,2,2,0,0.0735,1674,2720,2718,2,0,0
2014Monaco,1,1,0,0.0368,35,2720,2719,1,0,0
24zampe,4,3,1,0.1471,2676,2720,2716,3,1,0
25a1f0b80464487,64,53,11,23.529,56,2720,2656,64,0,0
37Boogie,4,0,4,0.1471,35,2720,2716,4,0,0
7SirAlex,1,0,1,0.0368,181,2720,2719,1,0,0
84Pablita,7,7,0,0.2574,67,2720,2713,7,0,0
87Sary,1,1,0,0.0368,3787,2720,2719,1,0,0
93607bc97c2b480,1,1,0,0.0368,143,2720,2719,1,0,0
a_portigliatti,1,1,0,0.0368,648,2720,2719,1,0,0
aamaa_es,1,1,0,0.0368,2464,2720,2719,1,0,0
abioplastiche,1,1,0,0.0368,1700,2720,2719,1,0,0
adbonanni,1,1,0,0.0368,110,2720,2719,1,0,0
adriespo,2,0,2,0.0735,635,2720,2718,2,0,0
AEAFMA,1,1,0,0.0368,5167,2720,2719,1,0,0
Agenzia_Dire,1,0,1,0.0368,7206,2720,2719,1,0,0
AgiproNews,2,0,2,0.0735,1649,2720,2718,2,0,0
Agricolae1,2,0,2,0.0735,3666,2720,2718,2,0,0
ailinon80,2,2,0,0.0735,399,2720,2718,2,0,0
AiseStampa,1,0,1,0.0368,3747,2720,2719,1,0,0
ak1010,1,1,0,0.0368,946,2720,2719,1,0,0
alberto_pilotto,1,1,0,0.0368,3304,2720,2719,1,0,0
AlbertoIonna,1,1,0,0.0368,775,2720,2719,1,0,0
alcinx,16,16,0,0.5882,236,2720,2704,16,0,0
aldoceccarelli,2,2,0,0.0735,11865,2720,2718,2,0,0
alebarone80,1,1,0,0.0368,338,2720,2719,1,0,0
alehastasiempre,1,1,0,0.0368,1219,2720,2719,1,0,0
AlePalmi82,1,0,1,0.0368,152,2720,2719,0,1,0
Alescios,1,1,0,0.0368,143,2720,2719,1,0,0
Alessan61795171,1,0,1,0.0368,14,2720,2719,0,0,1
AlessandraRaina,1,1,0,0.0368,330,2720,2719,0,0,1
alessandro_diz,1,1,0,0.0368,189,2720,2719,1,0,0
alessiabrunett,43,43,0,15.809,116,2720,2677,43,0,0
AlessioFraumene,1,1,0,0.0368,120,2720,2719,1,0,0
alexandercaper1,1,1,0,0.0368,176,2720,2719,0,1,0
AlexFacchinetti,1,1,0,0.0368,584,2720,2719,0,1,0
AlexKensei77,1,0,1,0.0368,96,2720,2719,1,0,0
alexniculae,1,1,0,0.0368,23,2720,2719,1,0,0
ALFONSODiego669,1,0,1,0.0368,7,2720,2719,0,1,0
AlfonsoDinamite,1,0,1,0.0368,17,2720,2719,1,0,0
AliceBenacchio,1,1,0,0.0368,29,2720,2719,1,0,0
allattamento,1,1,0,0.0368,1176,2720,2719,1,0,0
AMAKD301,1,1,0,0.0368,760,2720,2719,1,0,0
amdisessa,1,1,0,0.0368,765,2720,2719,1,0,0
AmodeoCesare,1,1,0,0.0368,33,2720,2719,1,0,0
AmoSaletta,2,2,0,0.0735,20,2720,2718,2,0,0
and_bassi,1,1,0,0.0368,1340,2720,2719,1,0,0
ANDAF_CFO,1,1,0,0.0368,208,2720,2719,1,0,0
AndFranchini,10,8,2,0.3676,16479,2720,2710,6,4,0
Andrea_Covre,1,1,0,0.0368,744,2720,2719,1,0,0
